IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.102.102,2087,TRUE,SIN,Asia Pacific,Singapore,329 ms,4178 kB/s
47.236.145.85,2083,TRUE,SIN,Asia Pacific,Singapore,321 ms,4175 kB/s
47.236.10.182,2087,TRUE,SIN,Asia Pacific,Singapore,324 ms,4173 kB/s
8.222.134.170,2096,TRUE,SIN,Asia Pacific,Singapore,299 ms,4162 kB/s
8.222.214.231,2083,TRUE,SIN,Asia Pacific,Singapore,306 ms,4152 kB/s
47.236.202.91,2083,TRUE,SIN,Asia Pacific,Singapore,308 ms,4148 kB/s
3.144.191.4,443,TRUE,ORD,North America,Chicago,238 ms,4126 kB/s
47.237.82.15,2087,TRUE,SIN,Asia Pacific,Singapore,295 ms,4119 kB/s
47.237.11.182,2096,TRUE,SIN,Asia Pacific,Singapore,288 ms,4096 kB/s
47.236.102.102,8443,TRUE,SIN,Asia Pacific,Singapore,306 ms,4089 kB/s
47.236.158.158,2096,TRUE,SIN,Asia Pacific,Singapore,301 ms,4072 kB/s
47.236.10.182,2096,TRUE,SIN,Asia Pacific,Singapore,331 ms,4046 kB/s
8.219.117.198,8443,TRUE,SIN,Asia Pacific,Singapore,304 ms,4044 kB/s
47.236.174.206,2083,TRUE,SIN,Asia Pacific,Singapore,319 ms,4042 kB/s
8.222.208.38,8443,TRUE,SIN,Asia Pacific,Singapore,313 ms,4038 kB/s
152.70.155.147,8443,TRUE,LAX,North America,Los Angeles,252 ms,4022 kB/s
47.238.164.202,443,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,4017 kB/s
47.236.253.41,2083,TRUE,SIN,Asia Pacific,Singapore,318 ms,4008 kB/s
47.236.170.225,2096,TRUE,SIN,Asia Pacific,Singapore,320 ms,4005 kB/s
8.219.147.58,2096,TRUE,SIN,Asia Pacific,Singapore,312 ms,4005 kB/s
8.222.208.38,2087,TRUE,SIN,Asia Pacific,Singapore,316 ms,3999 kB/s
47.236.170.225,8443,TRUE,SIN,Asia Pacific,Singapore,318 ms,3996 kB/s
20.220.204.217,443,TRUE,YYZ,North America,Toronto,232 ms,3984 kB/s
8.222.244.192,2083,TRUE,SIN,Asia Pacific,Singapore,309 ms,3969 kB/s
8.222.164.209,2096,TRUE,SIN,Asia Pacific,Singapore,316 ms,3959 kB/s
47.236.174.206,2053,TRUE,SIN,Asia Pacific,Singapore,312 ms,3930 kB/s
47.237.8.82,8443,TRUE,SIN,Asia Pacific,Singapore,312 ms,3907 kB/s
47.236.158.158,2083,TRUE,SIN,Asia Pacific,Singapore,311 ms,3898 kB/s
47.76.159.146,8443,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,3896 kB/s
47.236.167.231,8443,TRUE,SIN,Asia Pacific,Singapore,301 ms,3892 kB/s
20.108.51.255,443,TRUE,LHR,Europe,London,288 ms,3880 kB/s
47.236.180.51,2096,TRUE,SIN,Asia Pacific,Singapore,316 ms,3862 kB/s
47.237.0.31,2087,TRUE,SIN,Asia Pacific,Singapore,311 ms,3829 kB/s
47.236.9.152,2096,TRUE,SIN,Asia Pacific,Singapore,306 ms,3817 kB/s
152.70.155.147,443,TRUE,LAX,North America,Los Angeles,258 ms,3809 kB/s
8.222.208.38,443,TRUE,SIN,Asia Pacific,Singapore,316 ms,3761 kB/s
47.236.145.85,2053,TRUE,SIN,Asia Pacific,Singapore,305 ms,3759 kB/s
47.236.117.48,2083,TRUE,SIN,Asia Pacific,Singapore,299 ms,3745 kB/s
47.236.144.48,2087,TRUE,SIN,Asia Pacific,Singapore,321 ms,3742 kB/s
47.236.117.48,8443,TRUE,SIN,Asia Pacific,Singapore,308 ms,3737 kB/s
8.222.214.231,2087,TRUE,SIN,Asia Pacific,Singapore,323 ms,3733 kB/s
47.236.158.158,2053,TRUE,SIN,Asia Pacific,Singapore,315 ms,3733 kB/s
20.62.202.159,443,TRUE,IAD,North America,Ashburn,288 ms,3700 kB/s
8.219.114.201,443,TRUE,SIN,Asia Pacific,Singapore,300 ms,3698 kB/s
47.236.117.48,2096,TRUE,SIN,Asia Pacific,Singapore,308 ms,3686 kB/s
8.219.139.13,2053,TRUE,SIN,Asia Pacific,Singapore,301 ms,3667 kB/s
47.237.94.140,2083,TRUE,SIN,Asia Pacific,Singapore,293 ms,3663 kB/s
47.236.164.215,2083,TRUE,SIN,Asia Pacific,Singapore,365 ms,3655 kB/s
47.236.145.85,2087,TRUE,SIN,Asia Pacific,Singapore,309 ms,3647 kB/s
8.219.114.201,2053,TRUE,SIN,Asia Pacific,Singapore,303 ms,3644 kB/s
47.236.80.110,2083,TRUE,SIN,Asia Pacific,Singapore,308 ms,3644 kB/s
8.219.153.237,2087,TRUE,NRT,Asia Pacific,Tokyo,369 ms,3641 kB/s
152.70.155.147,2083,TRUE,LAX,North America,Los Angeles,248 ms,3628 kB/s
47.236.145.85,8443,TRUE,SIN,Asia Pacific,Singapore,310 ms,3624 kB/s
47.236.17.193,2087,TRUE,SIN,Asia Pacific,Singapore,318 ms,3606 kB/s
47.237.14.220,2087,TRUE,SIN,Asia Pacific,Singapore,298 ms,3605 kB/s
47.236.202.91,2096,TRUE,SIN,Asia Pacific,Singapore,312 ms,3603 kB/s
8.219.153.237,2096,TRUE,NRT,Asia Pacific,Tokyo,367 ms,3585 kB/s
47.236.146.249,8443,TRUE,SIN,Asia Pacific,Singapore,304 ms,3575 kB/s
47.236.167.231,2053,TRUE,SIN,Asia Pacific,Singapore,306 ms,3562 kB/s
8.222.208.38,2096,TRUE,SIN,Asia Pacific,Singapore,297 ms,3551 kB/s
47.236.174.206,2087,TRUE,SIN,Asia Pacific,Singapore,307 ms,3545 kB/s
47.236.237.90,2053,TRUE,SIN,Asia Pacific,Singapore,305 ms,3525 kB/s
47.236.237.90,2083,TRUE,SIN,Asia Pacific,Singapore,339 ms,3499 kB/s
8.219.4.122,2087,TRUE,SIN,Asia Pacific,Singapore,301 ms,3493 kB/s
47.236.158.158,2087,TRUE,SIN,Asia Pacific,Singapore,303 ms,3474 kB/s
20.240.254.247,8443,TRUE,ARN,Europe,Stockholm,342 ms,3444 kB/s
143.47.243.144,2053,TRUE,LHR,Europe,London,243 ms,3436 kB/s
47.236.237.90,8443,TRUE,SIN,Asia Pacific,Singapore,321 ms,3436 kB/s
47.236.102.102,2053,TRUE,SIN,Asia Pacific,Singapore,323 ms,3426 kB/s
